region,date,dis,id,catg,target
309,29/11/2004,62,train_Client_100069,11,0
310,6/12/1993,62,train_Client_100070,11,0
301,16/5/1985,62,train_Client_100071,11,0
301,26/11/1987,62,train_Client_100072,11,0
312,7/4/2014,63,train_Client_100074,11,0
101,13/9/2007,60,train_Client_100075,11,0
311,11/11/1994,63,train_Client_100076,11,0
301,17/10/1983,62,train_Client_100077,11,0
101,16/2/2006,60,train_Client_100078,11,0
101,16/5/2012,60,train_Client_100079,11,0
101,5/3/1977,60,train_Client_100081,11,0
301,19/12/1996,62,train_Client_100082,11,0
101,6/12/2011,60,train_Client_100084,11,0
312,4/2/2016,63,train_Client_100085,11,0
101,30/6/1994,60,train_Client_100086,11,0
304,28/10/1996,62,train_Client_100088,11,0
307,10/9/2012,62,train_Client_100089,11,0
101,28/12/2016,60,train_Client_10009,11,0
101,22/2/2011,60,train_Client_100091,11,1
302,26/6/1984,62,train_Client_100092,11,0
311,12/11/2012,63,train_Client_100094,11,0
372,13/9/1988,63,train_Client_100095,11,0
301,7/9/2011,62,train_Client_100096,11,0
313,10/8/2011,63,train_Client_100098,11,0
101,28/4/2010,60,train_Client_100099,11,0
309,6/11/2009,62,train_Client_1001,11,0
311,31/12/2003,63,train_Client_10010,11,0
101,11/10/2005,60,train_Client_100101,11,0
301,30/8/2013,62,train_Client_100103,11,0
101,15/7/2009,60,train_Client_100104,11,0
305,22/4/1992,62,train_Client_100107,11,0
307,22/8/2003,62,train_Client_100108,11,0
312,27/12/1990,63,train_Client_100109,11,1
101,19/3/1987,60,train_Client_10011,11,0
301,5/4/2002,62,train_Client_100110,11,0
104,9/3/2011,69,train_Client_100111,11,0
101,14/11/2006,60,train_Client_100112,11,0
301,12/10/2001,62,train_Client_100113,12,0
104,7/6/2012,69,train_Client_100114,11,0
101,27/12/1990,63,train_Client_100115,11,0
310,27/8/2010,62,train_Client_100116,11,0
105,17/11/2012,69,train_Client_100117,11,0
101,8/7/1998,60,train_Client_100119,11,0
101,24/2/2003,63,train_Client_10012,11,0
311,19/11/2018,63,train_Client_100120,11,0
302,23/8/2011,62,train_Client_100122,11,0
107,17/1/2008,69,train_Client_100123,11,0
309,30/3/2015,62,train_Client_100124,11,0
301,5/11/2014,62,train_Client_100126,11,0
101,14/9/2006,60,train_Client_100127,11,0
101,7/4/1981,60,train_Client_100129,11,0
307,20/5/2011,62,train_Client_100130,11,0
303,24/5/1999,62,train_Client_100131,11,0
106,31/12/1990,69,train_Client_100132,11,1
104,5/12/2007,69,train_Client_100133,12,0
103,12/9/2012,69,train_Client_100134,11,0
101,23/7/2012,60,train_Client_100135,11,0
103,18/2/2009,69,train_Client_100136,11,0
313,4/2/2013,63,train_Client_100137,11,0
306,9/9/2017,63,train_Client_100140,11,0
306,26/11/2013,63,train_Client_100141,11,0
107,15/5/2013,69,train_Client_100142,11,0
101,14/8/2010,60,train_Client_100146,11,0
104,5/1/2008,69,train_Client_100147,11,0
104,28/8/2010,69,train_Client_100148,11,0
107,11/3/2014,69,train_Client_100150,11,0
101,5/9/2006,60,train_Client_100152,11,0
101,27/2/1989,60,train_Client_100153,11,0
101,12/3/2015,60,train_Client_100154,11,0
305,14/12/1998,62,train_Client_100155,11,0
101,3/12/1986,60,train_Client_100156,12,0
101,11/7/2011,60,train_Client_100157,11,0
101,12/7/2010,60,train_Client_100158,11,0
107,5/9/2011,69,train_Client_10016,11,0
101,23/3/2000,60,train_Client_100160,11,0
311,8/3/2014,63,train_Client_100161,11,0
101,26/3/2009,60,train_Client_100163,11,0
101,13/10/1980,60,train_Client_100166,11,0
305,1/6/2018,62,train_Client_100168,11,0
302,28/12/1986,62,train_Client_100169,11,0
101,23/1/2002,60,train_Client_10017,11,0
372,22/1/1980,63,train_Client_100171,11,0
312,19/1/2018,63,train_Client_100172,11,0
301,21/4/1981,62,train_Client_100174,11,0
304,23/10/1996,62,train_Client_100175,11,0
301,25/2/1983,62,train_Client_100178,11,0
104,1/9/2016,69,train_Client_100179,11,0
301,16/1/2018,62,train_Client_100180,11,0
303,10/4/1998,62,train_Client_100181,11,0
105,25/3/2016,69,train_Client_100183,11,0
303,23/3/2000,62,train_Client_100184,11,0
107,9/10/2010,69,train_Client_100185,11,0
308,6/7/2007,63,train_Client_100186,11,0
306,6/9/1988,63,train_Client_100188,11,0
104,10/7/2008,69,train_Client_100189,11,0
101,20/4/1984,60,train_Client_10019,11,0
105,22/2/2001,69,train_Client_100190,11,0
103,6/8/2009,69,train_Client_100191,11,0
101,21/3/1984,60,train_Client_100192,11,0
311,8/11/2018,63,train_Client_100193,11,0
303,18/11/1981,62,train_Client_100194,11,0
104,25/12/2009,69,train_Client_100195,11,0
107,11/6/1997,69,train_Client_100196,11,0
307,18/6/2016,62,train_Client_100198,11,0
101,23/1/1989,60,train_Client_100199,11,0
104,10/3/2013,69,train_Client_1002,11,0
104,27/11/2010,69,train_Client_100200,11,0
107,11/8/1986,69,train_Client_100201,11,0
371,25/4/2017,62,train_Client_100204,11,0
306,2/6/2010,63,train_Client_100205,51,0
101,30/11/2015,60,train_Client_100206,11,0
306,11/5/2017,63,train_Client_100207,11,0
310,28/6/2007,62,train_Client_100208,11,0
312,10/5/2005,63,train_Client_100209,11,0
104,26/2/2007,69,train_Client_10021,11,0
101,4/3/1982,60,train_Client_100210,11,0
104,7/10/2016,69,train_Client_100212,11,0
101,17/5/2005,60,train_Client_100214,12,0
312,1/2/2011,63,train_Client_100219,11,0
107,30/11/1998,69,train_Client_10022,11,1
107,3/12/2014,69,train_Client_100223,11,0
101,28/9/1995,60,train_Client_100224,11,0
103,9/5/2000,69,train_Client_100226,11,0
309,12/11/1979,62,train_Client_100227,11,0
305,29/10/2012,62,train_Client_100228,11,0
311,12/6/2010,63,train_Client_100229,11,0
311,24/10/2016,63,train_Client_100231,11,0
101,28/4/2003,60,train_Client_100232,11,0
101,3/10/2013,60,train_Client_100234,11,0
302,17/5/2011,62,train_Client_100235,11,1
301,28/3/2012,62,train_Client_100236,51,1
104,11/10/2004,69,train_Client_100237,11,0
306,12/12/2012,63,train_Client_100238,11,0
104,29/9/1989,69,train_Client_100239,11,0
107,14/7/1981,69,train_Client_100242,11,0
103,20/11/2017,69,train_Client_100245,11,0
103,18/11/2002,69,train_Client_100247,11,0
311,27/9/2010,63,train_Client_100248,11,0
311,28/2/2013,63,train_Client_100249,11,0
372,31/8/2015,63,train_Client_10025,11,0
101,20/8/1999,63,train_Client_100251,11,0
107,17/9/2011,69,train_Client_100253,11,0
306,16/5/2002,63,train_Client_100254,11,0
107,8/12/2011,69,train_Client_100255,11,0
311,11/1/2017,63,train_Client_100256,11,0
101,1/10/2007,60,train_Client_100257,11,0
104,16/11/2011,69,train_Client_100258,11,0
303,14/2/2013,62,train_Client_100260,11,0
302,21/11/1990,62,train_Client_100264,11,0
303,30/8/2017,62,train_Client_100265,11,0
103,11/7/1996,69,train_Client_100267,11,0
301,30/5/2014,62,train_Client_100268,11,0
310,28/12/1995,62,train_Client_100270,11,1
101,7/4/1981,60,train_Client_100273,11,0
104,30/9/2015,69,train_Client_100274,11,0
310,11/1/2018,62,train_Client_100275,11,0
104,18/10/1995,69,train_Client_100277,11,1
379,12/6/1991,63,train_Client_100279,11,0
301,8/3/2012,62,train_Client_10028,11,0
303,17/9/2008,62,train_Client_100281,11,0
104,11/12/2015,69,train_Client_100283,11,0
304,22/3/1979,62,train_Client_100284,11,0
303,13/10/1980,62,train_Client_100286,11,0
302,1/6/2011,62,train_Client_100287,11,0
103,29/1/2014,69,train_Client_100288,11,0
104,30/9/2013,69,train_Client_10029,11,0
301,8/10/2012,62,train_Client_100290,11,0
310,16/10/1997,62,train_Client_100291,11,0
104,13/3/2007,69,train_Client_100292,11,0
303,30/12/1998,62,train_Client_100293,11,0
301,5/11/2010,62,train_Client_100294,11,0
306,4/1/2013,63,train_Client_100295,11,0
306,4/9/2014,63,train_Client_100296,11,0
311,9/3/2016,63,train_Client_100297,11,0
311,20/1/1993,63,train_Client_100298,11,0
107,26/1/2017,69,train_Client_100299,11,0
101,22/12/2015,63,train_Client_1003,11,0
310,22/9/1998,62,train_Client_10030,11,1
305,17/5/1995,62,train_Client_100300,11,0
309,6/4/1982,62,train_Client_100301,11,0
103,3/5/2010,69,train_Client_100304,11,0
303,15/4/1988,62,train_Client_100305,11,0
101,26/12/1981,60,train_Client_100307,11,0
101,29/2/2000,60,train_Client_100309,11,0
304,24/4/2015,62,train_Client_10031,11,0
101,9/1/2010,63,train_Client_100311,11,0
305,16/5/1984,62,train_Client_100313,11,0
104,10/3/1989,69,train_Client_100314,11,0
306,20/8/2008,63,train_Client_100315,11,0
107,12/4/1989,69,train_Client_100318,11,0
310,28/6/1988,62,train_Client_10032,11,0
303,16/4/1977,62,train_Client_100320,11,0
107,10/1/2008,69,train_Client_100321,11,0
104,20/8/1986,69,train_Client_100322,11,1
107,26/11/2012,69,train_Client_100325,11,0
311,6/5/2013,63,train_Client_100327,11,0
107,15/11/2011,69,train_Client_100329,11,0
306,7/1/2016,63,train_Client_10033,11,0
104,3/7/2014,69,train_Client_100330,11,0
301,20/5/1983,62,train_Client_100331,11,0
101,1/12/2004,60,train_Client_100334,11,0
101,24/2/2018,60,train_Client_100335,11,0
313,13/5/2014,63,train_Client_100336,11,0
310,20/8/2009,62,train_Client_100337,11,0
311,8/12/1993,63,train_Client_100338,11,0
301,17/4/1985,62,train_Client_100339,11,0
372,8/10/2010,63,train_Client_100340,11,0
305,14/6/2010,62,train_Client_100341,11,0
302,4/8/2016,62,train_Client_100344,11,0
107,13/9/2000,69,train_Client_100348,11,0
101,31/12/2011,60,train_Client_100349,11,0
372,21/12/1994,63,train_Client_100351,11,0
107,29/5/2012,69,train_Client_100352,12,0
107,22/4/2005,69,train_Client_100353,11,0
101,11/4/1978,60,train_Client_100354,11,0
301,10/6/1983,62,train_Client_100356,11,0
101,19/2/2013,60,train_Client_100357,11,0
101,14/8/2010,60,train_Client_100358,11,0
101,12/5/2010,60,train_Client_100359,11,0
309,10/6/2005,62,train_Client_10036,11,0
379,10/6/2017,63,train_Client_100361,11,0
101,2/11/2001,60,train_Client_100364,11,0
101,20/12/1991,60,train_Client_100367,11,0
306,18/10/1983,63,train_Client_100369,11,0
104,14/10/2002,69,train_Client_100370,11,0
306,16/6/2017,63,train_Client_100371,11,0
306,10/12/2007,63,train_Client_100375,11,0
103,30/8/1995,69,train_Client_100376,11,1
101,16/12/1981,60,train_Client_100377,11,0
311,12/5/2014,63,train_Client_100378,11,0
313,11/9/2009,63,train_Client_100379,11,0
101,5/3/1977,60,train_Client_10038,11,0
311,25/10/2002,63,train_Client_100380,11,0
101,20/9/1994,60,train_Client_100382,11,1
306,3/11/1993,63,train_Client_100383,11,0
101,24/1/1984,60,train_Client_100384,11,0
306,21/4/2014,63,train_Client_100385,11,0
103,31/12/1998,69,train_Client_100388,11,0
307,30/9/2014,62,train_Client_100389,11,0
305,15/7/1982,62,train_Client_10039,11,1
304,9/10/2000,62,train_Client_100390,11,0
107,6/5/2011,69,train_Client_100391,11,0
104,28/10/1985,69,train_Client_100393,11,0
399,14/12/1988,63,train_Client_100394,11,0
101,11/10/1996,60,train_Client_100395,11,0
104,17/2/2017,69,train_Client_100396,11,0
311,12/2/2016,63,train_Client_100398,11,0
107,13/12/1985,69,train_Client_100399,11,1
311,10/11/2014,63,train_Client_10040,11,0
306,15/5/2003,63,train_Client_100400,11,0
310,30/4/2011,62,train_Client_100401,11,0
101,17/5/2008,60,train_Client_100402,11,0
301,8/6/2015,62,train_Client_100404,11,0
303,23/5/2001,62,train_Client_100405,11,0
104,20/12/1994,69,train_Client_100406,11,0
107,12/9/2008,69,train_Client_100407,11,0
309,17/5/2000,62,train_Client_100408,11,0
105,19/4/1996,69,train_Client_100409,11,0
107,10/8/2014,69,train_Client_100411,11,0
103,29/11/2011,69,train_Client_100413,11,1
101,14/10/1980,60,train_Client_100414,11,0
306,2/12/2010,63,train_Client_100415,11,0
101,19/4/2007,60,train_Client_100416,11,0
307,16/7/2015,62,train_Client_100417,11,0
101,23/8/1979,60,train_Client_100418,11,0
313,9/10/2015,63,train_Client_100419,11,0
101,7/3/2003,60,train_Client_10042,11,0
107,22/5/2018,69,train_Client_100420,11,0
101,30/12/1998,60,train_Client_100421,11,0
101,22/10/1977,60,train_Client_100422,11,0
313,30/3/2000,63,train_Client_100423,11,0
310,24/9/1999,62,train_Client_100424,11,0
309,7/12/2012,62,train_Client_100426,11,0
301,2/4/2014,62,train_Client_100427,11,0
101,16/7/2009,60,train_Client_100428,11,0
105,15/5/2013,69,train_Client_100430,11,0
103,31/12/1999,69,train_Client_100431,11,1
371,30/10/1998,62,train_Client_100433,11,0
104,24/5/2000,69,train_Client_100434,11,0
304,23/11/2009,62,train_Client_100436,11,1
105,10/4/1995,69,train_Client_100437,11,0
104,6/10/2004,69,train_Client_100440,11,0
306,28/4/1987,63,train_Client_100441,11,0
105,27/6/1997,69,train_Client_100443,11,0
101,30/8/1989,60,train_Client_100444,11,0
301,25/6/2018,62,train_Client_100445,11,0
101,20/8/1984,60,train_Client_100446,11,0
104,2/7/2015,69,train_Client_100447,11,0
101,29/5/2015,60,train_Client_100448,51,0
311,23/11/2013,63,train_Client_100449,11,0
311,19/10/2015,63,train_Client_10045,11,0
303,28/6/2007,62,train_Client_100450,11,0
309,10/12/1985,62,train_Client_100451,11,0
104,30/5/2002,69,train_Client_100453,11,1
101,13/4/2011,60,train_Client_100455,11,0
104,2/8/2013,69,train_Client_100457,11,0
303,17/12/2013,62,train_Client_100460,11,0
101,3/6/2010,60,train_Client_100463,11,0
104,16/12/1991,69,train_Client_100464,11,0
101,12/4/2016,63,train_Client_100467,11,0
101,17/9/2007,60,train_Client_100469,11,0
302,23/7/2010,62,train_Client_10047,11,0
104,12/5/1998,69,train_Client_100470,11,0
101,31/12/1995,60,train_Client_100471,11,0
107,20/5/2005,69,train_Client_100472,11,0
312,18/1/2017,63,train_Client_100475,11,0
311,17/10/2017,63,train_Client_100476,11,0
307,1/1/1998,62,train_Client_100477,11,0
101,29/10/2001,60,train_Client_100478,11,0
101,8/5/1984,60,train_Client_100482,11,0
310,29/7/1997,62,train_Client_100483,11,0
101,22/12/2008,60,train_Client_100484,11,0
306,31/12/2004,63,train_Client_100485,11,0
101,30/1/2007,60,train_Client_100488,11,0
303,29/5/2013,62,train_Client_100489,11,0
371,30/12/2006,62,train_Client_10049,11,0
303,8/3/2012,62,train_Client_100490,11,0
306,28/9/2007,63,train_Client_100491,11,0
101,12/9/2017,60,train_Client_100494,11,0
301,25/4/2014,62,train_Client_100497,11,0
301,26/7/1979,62,train_Client_100499,11,0
101,28/12/2012,60,train_Client_1005,11,0
103,11/12/2014,69,train_Client_100500,11,0
104,17/12/1987,69,train_Client_100502,11,0
101,23/4/2012,60,train_Client_100503,11,0
313,23/11/2013,63,train_Client_100504,11,0
101,27/5/2013,60,train_Client_100505,11,0
302,10/9/2015,62,train_Client_100508,11,0
103,22/12/2013,69,train_Client_100509,11,0
107,5/9/2011,69,train_Client_10051,11,1
309,3/6/2016,62,train_Client_100510,11,0
311,8/4/2015,63,train_Client_100511,11,0
107,9/12/2005,69,train_Client_100512,11,0
301,9/10/2007,62,train_Client_100513,11,0
103,27/1/2017,69,train_Client_100517,11,0
312,22/12/2016,63,train_Client_100518,11,0
104,18/6/2013,69,train_Client_100519,11,0
101,11/10/1996,60,train_Client_100520,11,0
301,13/5/2008,62,train_Client_100521,11,0
103,4/4/1978,69,train_Client_100522,11,0
104,23/2/2001,69,train_Client_100523,11,0
101,19/3/1985,60,train_Client_100524,11,0
104,23/6/1980,69,train_Client_100525,11,0
311,4/7/2011,63,train_Client_100526,11,0
311,13/10/2016,63,train_Client_100527,11,0
104,19/12/2012,69,train_Client_100528,11,0
101,24/9/2001,60,train_Client_100529,11,0
310,4/7/2006,62,train_Client_100530,51,1
101,9/1/1991,60,train_Client_100532,11,0
101,20/8/2010,60,train_Client_100533,11,0
303,24/10/1981,62,train_Client_100535,11,0
310,29/12/2009,62,train_Client_100536,11,0
107,13/4/2018,69,train_Client_100538,11,0
105,27/4/2004,69,train_Client_100539,11,0
107,13/10/2012,69,train_Client_10054,11,0
301,8/5/2015,62,train_Client_100542,11,0
101,5/10/2016,60,train_Client_100543,11,0
311,1/7/2011,63,train_Client_100547,11,0
302,31/7/2009,62,train_Client_10055,11,0
107,10/7/2006,69,train_Client_100550,11,0
101,20/2/2009,60,train_Client_100551,11,0
104,26/11/1987,69,train_Client_100555,11,0
101,29/11/2004,60,train_Client_100556,12,0
303,24/9/1987,62,train_Client_100557,11,0
309,30/4/1985,62,train_Client_100558,11,0
302,26/11/2007,62,train_Client_100559,11,0
101,12/12/2012,60,train_Client_10056,11,1
101,26/6/2002,60,train_Client_100560,11,0
304,10/11/2015,62,train_Client_100561,11,0
301,15/5/1998,62,train_Client_100563,11,0
101,20/6/2000,60,train_Client_100564,11,0
312,31/12/1993,63,train_Client_100567,11,0
301,16/6/1982,62,train_Client_100568,11,0
104,18/5/1982,69,train_Client_100569,11,1
104,13/6/2016,69,train_Client_100570,11,0
104,30/5/2011,69,train_Client_100571,11,0
312,24/9/2010,63,train_Client_100572,11,0
103,1/10/2010,69,train_Client_100573,11,0
103,31/3/1999,69,train_Client_100574,11,0
372,11/3/2014,63,train_Client_100575,11,0
309,10/9/2018,62,train_Client_100578,11,0
101,7/2/1989,60,train_Client_100579,11,0
107,30/5/1978,69,train_Client_10058,11,0
101,29/6/2012,60,train_Client_100580,11,0
306,3/10/2011,63,train_Client_100582,11,0
311,24/9/2012,63,train_Client_100584,11,0
104,12/4/2008,69,train_Client_100585,11,1
311,11/12/2014,63,train_Client_100586,11,0
311,31/12/2004,63,train_Client_100587,11,0
103,31/12/2002,69,train_Client_100588,11,0
101,31/12/2008,60,train_Client_100589,11,0
101,12/10/1988,63,train_Client_10059,11,0
103,25/1/2014,69,train_Client_100590,11,1
308,1/8/2009,62,train_Client_100592,11,0
307,10/9/2001,62,train_Client_100593,11,0
107,16/12/2016,69,train_Client_100596,11,0
101,22/8/1983,60,train_Client_100597,11,0
101,1/9/2006,60,train_Client_100598,11,0
307,21/1/2014,62,train_Client_1006,11,0
302,2/5/2008,62,train_Client_100600,11,0
312,27/10/1989,63,train_Client_100601,11,0
101,2/9/2008,60,train_Client_100602,11,0
107,29/8/2016,69,train_Client_100604,11,0
311,24/6/2016,63,train_Client_100605,11,0
312,26/9/2005,63,train_Client_100606,11,1
313,18/10/2012,63,train_Client_100607,11,1
302,19/12/1996,62,train_Client_100609,11,0
104,14/2/2007,69,train_Client_10061,11,0
101,1/6/2012,60,train_Client_100610,11,0
312,24/5/2014,63,train_Client_100611,11,0
107,9/3/2001,69,train_Client_100613,11,0
104,20/5/1997,69,train_Client_100614,11,0
101,25/8/2014,60,train_Client_100615,11,0
107,15/8/2013,69,train_Client_100616,11,0
101,21/12/2000,63,train_Client_100618,11,0
303,27/2/1982,62,train_Client_100619,11,0
101,15/12/2000,60,train_Client_100620,11,0
302,16/5/1996,62,train_Client_100623,11,0
310,27/11/2007,62,train_Client_100624,11,0
303,19/9/2009,62,train_Client_100625,11,0
306,20/11/1996,63,train_Client_100629,11,0
302,30/6/2004,62,train_Client_10063,11,0
104,17/12/2003,69,train_Client_100630,11,0
304,17/2/2015,62,train_Client_100631,11,0
301,13/11/2010,62,train_Client_100632,11,0
306,31/3/2006,63,train_Client_100635,11,0
101,7/12/2008,60,train_Client_100636,11,0
101,17/4/2008,60,train_Client_100638,11,0
309,24/10/2015,62,train_Client_100639,11,0
306,12/12/2011,63,train_Client_10064,11,0
101,2/2/2010,60,train_Client_100640,11,0
104,30/4/2014,69,train_Client_100642,11,0
309,27/6/2008,62,train_Client_100643,11,0
306,20/5/2011,63,train_Client_100644,11,0
311,8/3/2016,63,train_Client_100648,11,0
101,22/10/2014,60,train_Client_100649,11,0
101,25/12/2007,60,train_Client_10065,11,0
305,28/9/2012,62,train_Client_100653,11,0
301,9/3/2011,62,train_Client_100654,11,0
101,22/4/2015,60,train_Client_100655,11,0
310,10/10/2008,62,train_Client_100657,11,0
371,23/9/1994,62,train_Client_100658,11,0
104,31/12/1993,69,train_Client_100659,11,0
301,26/2/2007,62,train_Client_10066,11,0
101,9/3/1990,60,train_Client_100661,11,0
103,20/2/1979,69,train_Client_100662,11,0
310,30/9/1999,62,train_Client_100664,11,0
101,3/12/1986,60,train_Client_100665,12,0
306,9/8/2011,63,train_Client_100666,11,0
103,14/8/2010,69,train_Client_100668,11,0
312,10/12/2011,63,train_Client_100669,11,0
302,26/12/2002,62,train_Client_10067,11,0
371,25/10/2017,62,train_Client_100670,11,0
107,26/10/2018,69,train_Client_100672,11,0
103,3/11/2007,69,train_Client_100673,11,0
105,25/9/2013,69,train_Client_100674,11,0
107,14/2/2007,69,train_Client_100676,11,0
301,30/9/1994,62,train_Client_100677,11,0
104,28/5/2012,69,train_Client_100678,11,0
101,28/4/1995,60,train_Client_100679,11,0
301,31/5/2004,62,train_Client_10068,11,0
311,19/11/1991,63,train_Client_100680,11,0
101,29/11/2017,60,train_Client_100681,11,0
103,10/9/1986,69,train_Client_100682,12,0
101,3/1/1979,60,train_Client_100683,11,0
311,23/3/2017,63,train_Client_100684,11,0
101,9/9/1993,60,train_Client_100685,11,0
311,1/12/2012,63,train_Client_100686,11,0
101,24/6/2013,60,train_Client_100687,11,0
303,18/2/2008,62,train_Client_100688,11,0
312,22/1/2018,63,train_Client_100689,11,0
311,24/7/2013,63,train_Client_10069,11,1
306,30/12/2015,63,train_Client_100690,11,0
313,29/12/2000,63,train_Client_100691,11,0
309,17/3/2012,62,train_Client_100692,11,0
310,16/6/2011,62,train_Client_100696,11,0
101,29/1/2008,60,train_Client_100697,11,0
312,24/12/1993,63,train_Client_100699,11,1
107,16/7/2013,69,train_Client_10070,11,0
307,15/4/1983,62,train_Client_100700,11,0
107,1/12/1994,69,train_Client_100701,11,0
302,8/12/2014,62,train_Client_100702,11,0
311,14/5/2002,63,train_Client_100704,11,0
305,25/10/1999,62,train_Client_100705,11,0
302,25/6/1997,62,train_Client_100706,11,0
306,30/8/1989,63,train_Client_100707,11,0
304,13/6/2013,62,train_Client_100709,11,0
101,18/9/2009,60,train_Client_10071,11,0
310,9/12/1987,62,train_Client_100710,11,0
101,17/12/2018,60,train_Client_100711,11,0
104,24/12/2008,69,train_Client_100714,11,0
101,5/4/2010,60,train_Client_100715,11,0
312,8/12/2014,63,train_Client_100716,11,0
101,10/10/2006,60,train_Client_100717,11,0
307,22/3/2006,62,train_Client_100719,11,0
101,8/12/1995,60,train_Client_100720,12,0
101,6/3/1985,60,train_Client_100723,11,0
101,5/10/2011,60,train_Client_100724,11,0
309,23/11/2004,62,train_Client_100725,11,0
302,14/4/2014,62,train_Client_100728,11,0
309,10/7/2012,62,train_Client_100730,12,0
311,31/12/1993,63,train_Client_100732,11,0
304,22/1/2013,62,train_Client_100733,11,0
101,8/7/2014,60,train_Client_100735,11,0
101,22/3/2010,63,train_Client_100737,11,0
107,9/8/2014,69,train_Client_100738,11,0
101,6/4/2010,60,train_Client_100739,11,0
302,3/8/2015,62,train_Client_100740,11,0
307,25/10/2006,62,train_Client_100741,11,0
101,6/3/2007,60,train_Client_100742,11,0
312,2/12/2011,63,train_Client_100743,11,0
371,10/10/2011,62,train_Client_100744,11,0
104,11/9/2012,69,train_Client_100746,11,0
101,19/12/2000,60,train_Client_100747,11,0
301,13/6/1990,62,train_Client_100748,11,0
307,10/3/2008,62,train_Client_100749,11,0
312,23/3/1993,63,train_Client_10075,11,0
107,28/6/1988,69,train_Client_100750,11,0
309,22/10/1991,62,train_Client_100751,11,0
303,27/10/2007,62,train_Client_100752,11,0
302,19/9/2015,62,train_Client_100754,11,0
310,12/11/2013,62,train_Client_100755,11,0
399,14/10/1982,63,train_Client_100756,11,0
305,28/12/1994,62,train_Client_100759,11,0
107,27/11/2010,69,train_Client_10076,11,1
301,6/12/2013,62,train_Client_100763,11,0
105,11/6/2008,69,train_Client_100765,11,0
308,4/7/2011,63,train_Client_100766,11,0
104,14/6/2002,69,train_Client_100769,11,0
101,17/11/1977,60,train_Client_100771,12,0
310,19/4/2005,62,train_Client_100773,11,0
101,14/5/1980,60,train_Client_100775,11,0
311,4/2/2016,63,train_Client_100776,11,0
311,9/5/2001,63,train_Client_100777,11,0
104,28/4/2003,69,train_Client_100779,11,0
101,15/6/2015,60,train_Client_10078,11,0
311,5/7/1996,63,train_Client_100780,11,0
301,30/11/1988,62,train_Client_100782,11,0
371,8/12/1997,62,train_Client_100783,11,0
311,31/10/2013,63,train_Client_100784,11,0
103,4/7/2015,69,train_Client_100786,11,0
106,9/5/2016,69,train_Client_100789,11,0
301,5/11/1984,62,train_Client_100790,11,0
107,25/4/2011,69,train_Client_100791,11,0
101,31/12/1994,60,train_Client_100792,11,0
101,24/12/2002,60,train_Client_100793,11,0
305,26/3/2012,62,train_Client_100794,11,0
311,3/8/2000,63,train_Client_100796,11,0
307,14/8/2010,62,train_Client_100797,11,0
101,31/8/2013,60,train_Client_100798,11,0
